"","diff","lwr.ci","upr.ci","pval"
"2-1",-0.038808596204599,-0.201289281624247,0.123672089215049,0.984024019696539
"3-1",-0.0490825688073432,-0.525984950907332,0.427819813292646,0.999708246806785
"4-1",0.191271128941862,0.123735958075875,0.258806299807849,2.17439399818886e-11
"5-1",-0.0490825688073392,-0.722294773144482,0.624129635529803,0.999946697922062
"6-1",-0.0432686153189652,-0.193800240493946,0.107263009856016,0.963923180391402
"3-2",-0.0102739726027442,-0.510795371859016,0.490247426653527,0.999999903602545
"4-2",0.230079725146461,0.0638064910866462,0.396352959206276,0.00115173960036896
"5-2",-0.0102739726027403,-0.700419219003298,0.679871273797817,0.999999980641601
"6-2",-0.00446001911436622,-0.218342134399008,0.209422096170276,0.999999895703079
"4-3",0.240353697749205,-0.237854099429924,0.718561494928334,0.706342181879251
"5-3",3.94129173741931e-15,-0.823004477537933,0.823004477537941,1
"6-3",0.00581395348837799,-0.49095708849861,0.502584995475366,0.999999994184024
"5-4",-0.240353697749201,-0.914491285559543,0.43378389006114,0.912370327291211
"6-4",-0.234539744260827,-0.389157289863169,-0.0799221986584856,0.000229859901671015
"6-5",0.00581395348837405,-0.681616230728663,0.693244137705411,0.999999998853459
