"","contrast","race","gender","eth","estimate","SE","df","z.ratio","p.value"
"1","1 - 0","1","1","0",0.290324291551015,0.141373861844668,Inf,2.05359242340004,0.0400151560753831
"2","1 - 0","2","1","0",0.0144071708542621,0.320413345693594,Inf,0.0449643282587842,0.964135742106988
"3","1 - 0","4","1","0",-0.262583682439857,0.19012511537246,Inf,-1.38110991767421,0.167245166636896
"4","1 - 0","6","1","0",0.209820933312028,0.325214754442374,Inf,0.645176550097782,0.518812780812841
"5","1 - 0","1","2","0",0.328850629385321,0.078282801961139,Inf,4.20080300074809,2.65969948374327e-05
"6","1 - 0","2","2","0",0.0529335086885682,0.286395524784551,Inf,0.184826591576069,0.853365050118007
"7","1 - 0","4","2","0",-0.22405734460555,0.152058990068064,Inf,-1.47348962731674,0.140619058729112
"8","1 - 0","6","2","0",0.248347271146335,0.305619798077281,Inf,0.812602039228936,0.416446262021542
"9","1 - 0","1","3","0",-0.0569294318349911,0.417920362156615,Inf,-0.136220765940227,0.891646759337236
"10","1 - 0","2","3","0",-0.332846552531744,0.509516679781707,Inf,-0.653259384313672,0.51358907190477
"11","1 - 0","4","3","0",-0.609837405825863,0.440382381926871,Inf,-1.38479065206367,0.166116490131762
"12","1 - 0","6","3","0",-0.137432790073978,0.518414150117049,Inf,-0.265102312587239,0.790930645872027
"13","1 - 0","1","1","1",-0.0896478083078193,0.185311135138263,Inf,-0.48376913908024,0.628549719216734
"14","1 - 0","2","1","1",-0.365564929004572,0.339523626469399,Inf,-1.07669952988535,0.281614522472773
"15","1 - 0","4","1","1",-0.642555782298691,0.242351536367952,Inf,-2.65133777127423,0.00801736180778837
"16","1 - 0","6","1","1",-0.170151166546806,0.349455447876802,Inf,-0.486903745758147,0.6263265443201
"17","1 - 0","1","2","1",-0.0511214704735131,0.157184282923595,Inf,-0.325232711074317,0.745004953383852
"18","1 - 0","2","2","1",-0.327038591170266,0.314418560474647,Inf,-1.04013767723053,0.298275941224722
"19","1 - 0","4","2","1",-0.604029444464385,0.223458492492447,Inf,-2.70309460037551,0.00686971915277912
"20","1 - 0","6","2","1",-0.1316248287125,0.337613667144152,Inf,-0.389868188174679,0.696634018394899
"21","1 - 0","1","3","1",-0.436901531693825,0.447993577201655,Inf,-0.975240614883108,0.32944091996801
"22","1 - 0","2","3","1",-0.712818652390578,0.53282829872634,Inf,-1.33780179111072,0.180961057872212
"23","1 - 0","4","3","1",-0.989809505684697,0.47771384542586,Inf,-2.07197156867481,0.0382680927274964
"24","1 - 0","6","3","1",-0.517404889932812,0.544788833127853,Inf,-0.949734756790409,0.342247044476294
